stock_id,company_name,pb,pe,div_yield,pb_rank,pe_rank,div_rank,total_score
2385,群光,2.3235269,10.912863,7.6,2.0,3.0,2.0,7.0
6670,復盛應用,2.4533896,10.099451,6.67,3.0,2.0,3.0,8.0
2618,長榮航,1.8036306,6.976535,4.66,1.0,1.0,6.0,8.0
1477,聚陽,4.142131,13.1609535,14.65,5.0,4.0,1.0,10.0
3034,聯詠,4.318522,15.2691965,5.39,6.0,5.0,4.0,15.0
6139,亞翔,4.3852453,16.723549,4.76,9.0,9.0,5.0,23.0
1476,儒鴻,4.3771296,16.500994,4.1,8.0,8.0,9.0,25.0
3533,嘉澤,3.9404655,16.102198,1.9,4.0,6.0,16.0,26.0
8464,億豐,4.6494703,16.315363,3.6,10.0,7.0,10.0,27.0
2454,聯發科,5.1379437,19.118998,4.32,11.0,13.0,7.0,31.0
5904,寶雅,9.308157,17.922459,4.29,15.0,12.0,8.0,35.0
2379,瑞昱,6.2179914,16.975307,2.82,13.0,11.0,14.0,38.0
2404,漢唐,10.120921,16.808804,3.44,19.0,10.0,11.0,40.0
6531,愛普*,4.329289,31.442205,2.36,7.0,20.0,15.0,42.0
6944,兆聯實業,6.195525,19.383259,1.65,12.0,14.0,18.0,44.0
6409,旭隼,10.44142,26.384958,3.3,20.0,16.0,12.0,48.0
3293,鈊象,22.910248,26.175686,3.28,22.0,15.0,13.0,50.0
6442,光聖,9.679893,27.166767,1.89,16.0,18.0,17.0,51.0
2345,智邦,10.027142,26.95652,1.54,18.0,17.0,19.0,54.0
2059,川湖,8.302989,27.699905,0.68,14.0,19.0,25.0,58.0
6805,富世達,9.712045,38.90854,0.71,17.0,22.0,24.0,63.0
1519,華城,23.262527,35.71881,1.06,23.0,21.0,21.0,65.0
3653,健策,15.353015,51.82073,0.98,21.0,23.0,22.0,66.0
5274,信驊,36.703785,54.644135,1.17,24.0,24.0,20.0,68.0
3529,力旺,41.9054,90.90909,0.97,25.0,25.0,23.0,73.0
7749,意騰-KY,,,,,,,
6757,台灣虎航,,,,,,,
